TABLE_NAME,COLUMN_NAME,COLUMN_DEFAULT,ORDINAL_POSITION,DATA_TYPE,COLUMN_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,INDEX_NAME,NON_UNIQUE,SEQ_IN_INDEX,NULLABLE
BOOKINGS,ALLOTMENT_DATE,NULL,4,date,date,YES,NULL,NULL,NULL,NULL,NULL
BOOKINGS,BOOKING_ID,NULL,1,int,int,NO,NULL,PRIMARY,0,1,
BOOKINGS,COMPLETION_DATE,NULL,5,date,date,YES,NULL,NULL,NULL,NULL,NULL
BOOKINGS,ROLL_NO,NULL,2,varchar,varchar(10),NO,10,ROLL_NO,1,1,
BOOKINGS,ROOM_ID,NULL,3,int,int,NO,NULL,ROOM_ID,1,1,
BOOKINGS,STATE,NULL,6,enum,"enum('ACTIVE','COMPLETED','PENDING')",YES,9,NULL,NULL,NULL,NULL
HOSTELS,HOSTEL_ID,NULL,1,int,int,NO,NULL,PRIMARY,0,1,
HOSTELS,HOSTEL_NAME,NULL,2,varchar,varchar(30),NO,30,HOSTEL_NAME,0,1,
HOSTELS,LOCATION,NULL,3,varchar,varchar(20),YES,20,NULL,NULL,NULL,NULL
ROOMS,AVAILABLE,NULL,7,int,int,NO,NULL,NULL,NULL,NULL,NULL
ROOMS,CAPACITY,NULL,6,int,int,NO,NULL,NULL,NULL,NULL,NULL
ROOMS,FLOOR_NUMBER,NULL,5,int,int,NO,NULL,NULL,NULL,NULL,NULL
ROOMS,HOSTEL_ID,NULL,2,int,int,NO,NULL,HOSTEL_ID,1,1,
ROOMS,ROOM_ID,NULL,1,int,int,NO,NULL,PRIMARY,0,1,
ROOMS,ROOM_NUMBER,NULL,3,varchar,varchar(4),NO,4,NULL,NULL,NULL,NULL
ROOMS,ROOM_TYPE,NULL,4,enum,"enum('SINGLE','DOUBLE','TRIPLE')",NO,6,NULL,NULL,NULL,NULL
STUDENTS,ADDRESS,NULL,8,varchar,varchar(255),NO,255,NULL,NULL,NULL,NULL
STUDENTS,AGE,NULL,4,int,int,NO,NULL,NULL,NULL,NULL,NULL
STUDENTS,BRANCH,NULL,5,varchar,varchar(10),NO,10,NULL,NULL,NULL,NULL
STUDENTS,DATE_OF_ADMISSION,NULL,9,date,date,NO,NULL,NULL,NULL,NULL,NULL
STUDENTS,EMAIL,NULL,7,varchar,varchar(30),NO,30,EMAIL,0,1,
STUDENTS,FIRST_NAME,NULL,2,varchar,varchar(20),NO,20,NULL,NULL,NULL,NULL
STUDENTS,LAST_NAME,NULL,3,varchar,varchar(20),NO,20,NULL,NULL,NULL,NULL
STUDENTS,MOBNO,NULL,6,int,int,NO,NULL,NULL,NULL,NULL,NULL
STUDENTS,ROLL_NO,NULL,1,varchar,varchar(10),NO,10,PRIMARY,0,1,
